docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
ARIAS LONDONO JULIAN DAVID,Multimodal and Multi-Output Deep Learning Architectures for the Automatic Assessment of Voice Quality Using the GRB Scale,IEEE Journal of Selected Topics in Signal Processing,2020,feb,10.1109/jstsp.2019.2956410,https://doi.org/10.1109%2Fjstsp.2019.2956410,Institute of Electrical and Electronics Engineers (IEEE),14,2,413--422,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Juan I. Godino-Llorente
ARIAS LONDONO JULIAN DAVID,Sentiment Analysis of News Articles in Spanish using Predicate Features,Lenguaje,2019,jul,10.25100/lenguaje.v47i2.7937,https://doi.org/10.25100%2Flenguaje.v47i2.7937,Universidad del Valle,47,2,235--267,Antonio Tamayo and Julian Arias Londoño and Diego Burgos and Gabriel Quiroz
ARIAS LONDONO JULIAN DAVID,Changes in the hippocampal and peripheral phospholipid profiles are associated with neurodegeneration hallmarks in a long-term global cerebral ischemia model: Attenuation by Linalool,Neuropharmacology,2018,,,,,135,,555-571,"Sabogal-Guaqueta, A.M. and Posada-Duque, R. and Cortes, N.C. and Arias-Londoño, J.D. and Cardona-Gomez, G.P."
ARIAS LONDONO JULIAN DAVID,Differential Pattern of Phospholipid Profile in the Temporal Cortex from E280A-Familiar and Sporadic Alzheimers Disease Brains,Journal of Alzheimers Disease,2018,,,,,61,1,209-219,"Villamil-Ortiz, J.G. and Barrera-Ocampo, A. and Arias-Londoño, J.D. and Villegas, A. and Lopera, F. and Cardona-Gomez, G.P."
ARIAS LONDONO JULIAN DAVID,Automatic detection of Parkinsons disease in running speech spoken in three different languages,The Journal of the Acoustical Society of America,2016,,,,,139,1,481--500,"Orozco-Arroyave, JR and  Hönig, F and  Arias-Londono, JD and  Vargas-Bonilla, JF and  Daqrouq, K and  Skodda, S and  Rusz, J and  Nöth, E"
ARIAS LONDONO JULIAN DAVID,BACE1 RNAi Restores the Composition of Phosphatidylethanolamine-Derivates Related to Memory Improvement in Aged 3xTg-AD Mice,Frontiers in Cellular Neuroscience,2016,,,,,10,,,"Villamil-Ortiz, Javier G. and  Barrera-Ocampo, Alvaro and  Piedrahita, Diego and  Velasquez-Rodriguez, Claudia M. and  Arias-Londono, Julian D. and  Cardona-Gomez, Gloria P."
ARIAS LONDONO JULIAN DAVID,On-line signature verification using Gaussian Mixture Models and small-sample learning strategies/Verificacion de firmas en lnea usando modelos de mezcla Gaussianas y estrategias de aprendizaje para conjuntos pequenos de muestras,Revista Facultad de Ingeniera Universidad de Antioquia,2016,,,,,,79,14,"Zapata-Zapata, Gabriel Jaime and  Arias-Londono, Julián David and  Vargas-Bonilla, Jesus Francisco and  Orozco-Arroyave, Juan Rafael"
ARIAS LONDONO JULIAN DAVID,Automatic Emotion Recognition in Compressed Speech Using Acoustic and Non-Linear Features,"2015 20th Symposium on Signal Processing, Images and Computer Vision (Stsiva)",2015,,,,,,,,"Garcia, N. and  Vasquez-Correa, J. C. and  Arias-Londono, J. D. and  Vargas-Bonilla, J. F. and  Orozco-Arroyave, J. R."
ARIAS LONDONO JULIAN DAVID,"Characterization Methods for the Detection of Multiple Voice Disorders: Neurological, Functional, and Laryngeal Diseases",Ieee Journal of Biomedical and Health Informatics,2015,,,,,19,6,1820-1828,"Rafael Orozco-Arroyave, Juan and  Alexander Belalcazar-Bolanos, Elkyn and  David Arias-Londono, Julian and  Francisco Vargas-Bonilla, Jesus and  Skodda, Sabine and  Rusz, Jan and  Daqrouq, Khaled and  Hoenig, Florian and  Noeth, Elmar"
ARIAS LONDONO JULIAN DAVID,Editorial,Revista Facultad de Ingenieria,2015,,,,,2015,77,7-8,"Arias, J.D. and Botero, M.A.G."
ARIAS LONDONO JULIAN DAVID,Entropies from Markov Models as Complexity Measures of Embedded Attractors,Entropy,2015,,,,,17,6,3595--3620,"Arias-Londono, Julián D. and  Godino-Llorente, Juan I."
ARIAS LONDONO JULIAN DAVID,EVALUACION DE METODOS DE FOURIER Y MAXIMA ENTROPIA PARA LA DETECCION AUTOMATICA DE LA ENFERMEDAD DE PARKINSON.,Journal of Research of the University of Quindio,2015,,,,,27,1,,"Arias Mejia, Juan Manuel and Bolaños, Belalcazar and Alexander, Elkyn and Orozco Arroyave, Juan Rafael and Arias Londoño, Julian David and Vargas Bonilla, Jesus Francisco"
ORTEGA LOBO OSCAR,Improving NURBS Surface Sharp Feature Representation,International Journal of Computational Intelligence Research,,,10.5019/j.ijcir.2007.97,https://lens.org/101-307-797-786-707,,,,,Nallig Leal and Oscar Ortega Lobo and John William Branch
ORTEGA LOBO OSCAR,ESTIMACIÓN DE CURVATURAS Y DIRECCIONES PRINCIPALES EN NUBE DE PUNTOS NO ORGANIZADOS,Dyna,,September,,https://lens.org/166-111-668-718-875,,,,,Esmeide A Leal Narváez and John William Branch and Oscar Ortega Lobo
ORTEGA LOBO OSCAR,Agrupamiento de resultados obtenidos de búsquedas hechas sobre la Web para un catálogo de acceso público en línea,Dyna,,,,https://lens.org/088-801-416-140-297,,,,,Andrés Marín Lopera and Oscar Ortega Lobo and John William Branch
ORTEGA LOBO OSCAR,La gestión del conocimiento en las empresas de servicios Medellín,"Investigación Bibliotecológica: archivonomía, bibliotecología e información",,July,10.22201/iibi.0187358xp.2003.35.4023,https://lens.org/070-078-712-833-852,,,,,María Teresa Múnera Torres and Adriana Mejía Correa and José Gregorio Franco Gómez and Ángel Pabon and Regina Arilog and Oscar Ortega Lobo
ORTEGA LOBO OSCAR,Suitable Domains for Using Ordered Attribute Trees to Impute Missing Values,IEICE Transactions on Information and Systems,,February,,https://lens.org/046-243-091-640-99X,,,,,Oscar Ortega Lobo
MUNERA RAMIREZ DANNY ALEXANDRO,IoT-based air quality monitoring systems for smart cities: A systematic mapping study,International Journal of Electrical and Computer Engineering,2021,,,,,11,4,3470-3482,"Munera, D. and Diana P. Tobon, V. and Aguirre, J. and Gomez, N.G."
MUNERA RAMIREZ DANNY ALEXANDRO,"UML2SC: A tool for developing complex electronic systems using UML and SystemC,UML2SC: Herramienta para el diseño de sistemas electronicos complejos utilizando los lenguajes UML y SystemC",Revista Facultad de Ingenieria,2009,,,,,,48,165-173,"Correa, B.A. and Eusse, J.F. and Munera, D. and Sepulveda, S. and Velez, J.F. and Aedo, J.E."
