docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
ORTIZ GARCIA RONALD AKERMAN,Análisis del proceso productivo en una empresa de plásticos usando simulación discreta,Avances Investigación en Ingeniería,2019,,10.18041/1794-4953/avances.1.5203,https://doi.org/10.18041/1794-4953/avances.1.5203,,,,,David Zapata Chaves; Ronald Akerman Ortíz García; Daniela Guerra Ocampo
ORTIZ GARCIA RONALD AKERMAN,Modelación y simulación de comportamientos humanos en situaciones de emergencia en un call center: una revisión crítica de literatura,USBMed,2018,,10.21500/20275846.3329,http://dx.doi.org/10.21500/20275846.3329,,,,,
DUQUE RAMOS ASTRID,An Automated Process for the Repository-Based Analysis of Ontology Structural Metrics,IEEE Access,2020,,10.1109/access.2020.3015789,http://dx.doi.org/10.1109/access.2020.3015789,,,,,José Antonio Bernabé-Díaz; Manuel Franco; Juana-Maria Vivo; Manuel Quesada-Martínez; Astrid Duque-Ramos; Jesualdo Tomás Fernández-Breis
DUQUE RAMOS ASTRID,Analysis of readability and structural accuracy in SNOMED CT,BMC Medical Informatics and Decision Making,2020,,10.1186/s12911-020-01291-y,http://dx.doi.org/10.1186/s12911-020-01291-y,,,,,Francisco Abad-Navarro; Manuel Quesada-Martínez; Astrid Duque Ramos; Jesualdo Tomás Fernández-Breis
DUQUE RAMOS ASTRID,Evaluation of ontology structural metrics based on public repository data,Briefings in Bioinformatics,2020,,10.1093/bib/bbz009,http://dx.doi.org/10.1093/bib/bbz009,,,,,Manuel Franco; Juana María Vivo; Manuel Quesada-Martínez; Astrid Duque-Ramos; Jesualdo Tomás Fernández-Breis
DUQUE RAMOS ASTRID,Supporting the analysis of ontology evolution processes through the combination of static and dynamic scaling functions in OQuaRE,Journal of Biomedical Semantics,2016,,,,,7,1,,"Duque-Ramos, A. and Quesada-Martínez, M. and Iniesta-Moreno, M. and Fernández-Breis, J.T. and Stevens, R."
DUQUE RAMOS ASTRID,Evaluating the Good Ontology Design guideline (GoodOD) with the Ontology Quality Requirements and Evaluation method and metrics (OQuaRE),PLoS ONE,2014,,,,,9,8,,"Duque-Ramos, A. and Boeker, M. and Jansen, L. and Schulz, S. and Iniesta, M. and Fernández-Breis, J.T."
DUQUE RAMOS ASTRID,Evaluation of the OQuaRE framework for ontology quality,Expert Systems with Applications,2013,,,,,40,7,2696-2703,"Duque-Ramos, A. and Fernández-Breis, J.T. and Iniesta, M. and Dumontier, M. and Egaña Aranguren, M. and Schulz, S. and Aussenac-Gilles, N. and Stevens, R."
DUQUE RAMOS ASTRID,OQuaRE: A square-based approach for evaluating the quality of ontologies,Journal of Research and Practice in Information Technology,2011,,,,,43,2,159-176,"Duque-Ramos, A. and Fernández-Breis, J.T. and Stevens, R. and Aussenac-Gilles, N."
URIBE GUERRA GABRIEL DARIO,Feed formulation using multi-objective Bayesian optimization,Computers and Electronics in Agriculture,2024,,10.1016/j.compag.2024.109173,https://doi.org/10.1016/j.compag.2024.109173,,,,,Gabriel D. Uribe-Guerra; Danny A. Múnera-Ramírez; Julián D. Arias-Londoño
MONTOYA GOMEZ EDISON ALEJANDRO,Subaging in underparametrized deep neural networks,Machine Learning: Science and Technology,2022,,,,,3,3,,"Segura, C.H. and Montoya, E. and Tapias, D."
MONTOYA GOMEZ EDISON ALEJANDRO,Description of the evolution of inhomogeneities on a dark matter halo with the Vlasov equation,General Relativity and Gravitation,2017,,,,,49,9,,"Domínguez-Fernández, P. and Jiménez-Vázquez, E. and Alcubierre, M. and Montoya, E. and Núñez, D."
MONTOYA GOMEZ EDISON ALEJANDRO,Loop quantum cosmology of Bianchi IX: Effective dynamics,Classical and Quantum Gravity,2017,,,,,34,5,,"Corichi, A. and Montoya, E."
MONTOYA GOMEZ EDISON ALEJANDRO,Effective dynamics in Bianchi type II loop quantum cosmology,"Physical Review D - Particles, Fields, Gravitation and Cosmology",2012,,,,,85,10,,"Corichi, A. and Montoya, E."
MONTOYA GOMEZ EDISON ALEJANDRO,On the semiclassical limit of loop quantum cosmology,International Journal of Modern Physics D,2012,,,,,21,9,,"Corichi, A. and Montoya, E."
MONTOYA GOMEZ EDISON ALEJANDRO,Coherent semiclassical states for loop quantum cosmology,"Physical Review D - Particles, Fields, Gravitation and Cosmology",2011,,,,,84,4,,"Corichi, A. and Montoya, E."
QUINTANA GOMEZ JUAN FELIPE,En la perspectiva de una cultura afectiva: La pertinencia de las Pasiones ordinarias de David Le Breton dos décadas después.,Revista Artes de Educar,2023,,,https://www.e-publicacoes.uerj.br/riae/article/view/80838,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE, Retratos de la Anomia. De los rostros de la anomia decimonónica a las máscaras de una anomia híbrida,Revista Katharsis,2012,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527481,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE," ""¿Quién quiere ser maestro? Estudio previo para la implementación de un programa de educación en la Institución Universitaria de Envigado""",Revista Katharsis,2012,,,https://bibliotecadigital.iue.edu.co/xmlui/handle/20.500.12717/2177,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,"Conjetura, mito y razón",Revista Psicoespacios,2009,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5012827,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,"Memoria de los combates, combates de la memoria",Revista Katharsis,2009,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527384,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,"Territorio, Cuerpo y Deseo",Revista Katharsis,2009,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527355,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,"Semblanza del cuerpo en el arte actual: La medida de un goce, el rasgo de una crudeza",Desde el Jardín de Freud: revista de psicoanálisis,2002,,,https://repositorio.unal.edu.co/handle/unal/47430,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,Aproximación al lenguaje de la crueldad,Affectio Societatis,1999,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5029946,,,,,Juan Felipe Arroyave Gómez
QUINTANA GOMEZ JUAN FELIPE,"Las Versiones de Mishima: lenguaje, acto y cuerpo.",Affectio Societatis,1999,,,https://revistas.udea.edu.co/index.php/affectiosocietatis/article/view/5420,,,,,Juan Felipe Arroyave Gómez
GOMEZ HENAO RAFAEL,HS3ST2 expression induces the cell autonomous aggregation of tau,Scientific Reports,2022,,,,,12,1,,"Huynh, M.B. and Rebergue, N. and Merrick, H. and Gomez-Henao, W. and Jospin, E. and Biard, D.S.F. and Papy-Garcia, D."
GOMEZ HENAO RAFAEL,Expression Dynamics of the O-Glycosylated Proteins Recognized by Amaranthus leucocarpus Lectin in T Lymphocytes and Its Relationship With Moesin as an Alternative Mechanism of Cell Activation,Frontiers in Immunology,2021,,,,,12,,,"Gómez-Henao, W. and Saavedra, R. and Chávez-Sánchez, F.R. and Lascurain, R. and Zenteno, E. and Tenorio, E.P."
GOMEZ HENAO RAFAEL,Relevance of glycans in the interaction between T lymphocyte and the antigen presenting cell,International Reviews of Immunology,2020,nov,10.1080/08830185.2020.1845331,https://doi.org/10.1080%2F08830185.2020.1845331,Informa UK Limited,40,4,274--288,Wilton Gómez-Henao and Eda Patricia Tenorio and Francisco Raúl Chávez Sanchez and Miguel Cuéllar Mendoza and Ricardo Lascurain Ledezma and Edgar Zenteno
VALDERRAMA MUÑOZ ANGELA MARIA,"Aportes de la revisión de literatura al diseño de una ruta de apropiación TIC, vinculada con el modelo tecnológico-pedagógico-disciplinar",Revista Virtual Universidad Católica del Norte,2021,,10.35575/rvucn.n62a11,https://doi.org/10.35575/rvucn.n62a11,,,,,Marisol Lopera Pérez; Vanessa Arias; María Mercedes Jiménez; Diana Patricia Ospina Pineda; Ángela María Valderrama Muñoz
VALDERRAMA MUÑOZ ANGELA MARIA,Ruta de apropiación de las TIC para profesores de educación superior fundamentada en el modelo Tecnológico Pedagógico Disciplinar,Virtu@lmente,2020,nov,10.21158/2357514x.v8.n2.2020.2721,https://doi.org/10.21158%2F2357514x.v8.n2.2020.2721,Universidad EAN,8,2,,Diana Patricia Ospina-Pineda and Ángela María Valderrama-Muñoz and María Mercedes Jiménez-Narváez and Vanessa Arias-Gil and Marisol Lopera-Pérez and Herlaynne Segura-Jiménez
GUEVARA CALUME ROBERTO CARLOS,Propuesta para la clasificación de los objetos virtuales de aprendizaje interactivos,Revista Virtual Universidad Católica del Norte,2022,,10.35575/rvucn.n66a9,https://doi.org/10.35575/rvucn.n66a9,,,,,Roberto Carlos Guevara Calume; Carlos Eduardo Uc Ríos; Yuli Gabriela Yarce Marín
GUEVARA CALUME ROBERTO CARLOS,Impacto de Twitter en el big data y data mining,DESARROLLO E INNOVACIÓN EN INGENIERÍA,2018,,,,,,,49,"Guevara C, Roberto C. and Fuertes, Yolfaris N"
GUEVARA CALUME ROBERTO CARLOS,"RECONOCIMIENTO DE PATRONES EN LA EDUCACIÓN SUPERIOR, UNA NECESIDAD NO SATISFECHA",Revista de divulgación científica y tecnológica. ISSN,2018,,,,,2444,,4944,"Calume, RC Guevara and Cuartas, O Muños and Álvarez, LF Zapata and Correa, F Orduña"
GUEVARA CALUME ROBERTO CARLOS,"RECONOCIMIENTO DE PATRONES EN LA EDUCACIÓN SUPERIOR, UNA NECESIDAD NO SATISFECHA Autores e infomación del artículo",Revista de divulgación científica y tecnológica. ISSN,2018,,,,,2444,,4944,"Calume, RC Guevara and Cuartas, O Muños and Álvarez, LF Zapata and Correa, F Orduña"
GUEVARA CALUME ROBERTO CARLOS,REVISIÓN SISTEMÁTICA A LOS CONTENIDOS DIGITALES INTERACTIVOS ELABORADOS CON PRÁCTICAS ÁGILES,Investigación e Innovación,2018,,,,"Publicar T, Sello Editorial TdeA",2,1,43--53,"Tabares, Ricardo de J Botero and Calume, Roberto Guevara"
GUEVARA CALUME ROBERTO CARLOS,? Se puede definir que es contenido desde la gestion de la informacion?,Revista General de Informacion y Documentacion,2017,,,,Universidad Complutense de Madrid,27,,201--219,"Serna, Edgar and Guevara, Roberto and Serna, Alexei"
GUEVARA CALUME ROBERTO CARLOS,Can it define what is content from the information management?,Revista General de Información y Documentación,2017,,,,Universidad Complutense de Madrid,27,1,21,"Serna, Edgar and Guevara, Roberto and Serna, Alexei"
GUEVARA CALUME ROBERTO CARLOS,Can it define what is content from the information management?,Revista General de Informacion y Documentacion,2017,,,,,27,1,201-218,"Serna, M.E. and Guevara, C.R. and Serna, A.X."
GUEVARA CALUME ROBERTO CARLOS,"Formación profesional en el campo de la seguridad informática, a través de sus componentes básicos",Revista Reflexiones y Saberes,2017,,,,,4,6,40--54,"Calume, Roberto Carlos Guevara and Jaramillo, Sebastián Gómez and Sepúlveda, Jorge Mauricio"
GUEVARA CALUME ROBERTO CARLOS,"Reconocimiento de patrones en ingeniería, una necesidad creciente y una oferta académica no satisfecha en instituciones de educación superior",DESARROLLO E INNOVACIÓN EN INGENIERÍA,2017,,,,,,,319,"Guevara, Roberto C and Camacho, Edwin and Morales, Jenny A"
GUEVARA CALUME ROBERTO CARLOS,Categorización de los Contenidos Interactivos,,2015,,,,,,,,"Castro, Carlos A and Botero, Ricardo and Guevara, Roberto"
GUEVARA CALUME ROBERTO CARLOS,Concentración de redes Wifi en sitios céntricos-Caso de estudio Centro de la ciudad de Medellín Colombia,Avances en Ingeniería,2015,,,,,,,127,"Guevara, Roberto and Flórez, Giovanny"
GUEVARA CALUME ROBERTO CARLOS,"Concentration of WiFi networks in central places--Study case in the center of Medellin city, Colombia Concentración de redes Wifi en sitios céntricos-Caso de estudio Centro de la ciudad de Medellín Colombia",Actas de Ingeniería,2015,,,,,1,,196--200,"Guevara, Roberto and Flórez, Giovanny"
GUEVARA CALUME ROBERTO CARLOS,Una revisión a los niveles de interactividad de los contenidos digitales,,2015,,,,,,,,"Guevara, Roberto and Botero, Ricardo and Castro, Carlos A"
GUEVARA CALUME ROBERTO CARLOS,A PROPOSED SOLUTION TO THE PROBLEM OF INTERFERENCE BETWEEN WIRELESS NETWORKS BY OVERLAPPING CHANNELS,Ciencia e Ingeniería Neogranadina,2013,,,,Universidad Militar Nueva Granada,23,2,7--15,"Guevara, Roberto Carlos and Serna, Édgar"
GUEVARA CALUME ROBERTO CARLOS,Cuantificación Experimental de la Interferencia entre redes WiFi causado por el solapamiento de canales,Cuaderno Activa,2013,,,,,5,,23--29,"Calume, Roberto Carlos Guevara"
GUEVARA CALUME ROBERTO CARLOS,Experimentally measuring interference between wireless networks by overlapping of channels,CUADERNO ACTIVA,2013,,,,"TECNOLOGICO ANTIOQUIA-INST UNIV, FAC INGENIERIA CL 78B 72A-220, MEDELLIN~…",,5,23--29,"Guevara Calume, Roberto Carlos"
GUEVARA CALUME ROBERTO CARLOS,UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO DE CANALES,Ciencia e Ingeniería Neogranadina,2013,,,http://www.redalyc.org/articulo.oa?id=91130493001,,,,,Roberto Carlos Guevara C.; Édgar Serna M.
GUEVARA CALUME ROBERTO CARLOS,"UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO
DE CANALES",Ciencia e Ingeniería Neogranadina,2013,,,,,,,,Roberto Carlos Guevara C. and  Édgar Serna M.
GUEVARA CALUME ROBERTO CARLOS,Una propuesta de solución al problema de la interferencia entre redes WiFi por solapamiento de canales,Ciencia e ingeniería Neogranadina,2013,,,,Universidad Militar Nueva Granada,23,2,1,"Guevara, Roberto Carlos and Montoya, Edgar Serna"
GUEVARA CALUME ROBERTO CARLOS,Una propuesta de solución al problema de la interferencia entre redes WiFi por solapamiento de canales.,Ciencia e Ingeniería Neogranadina,2013,dec,10.18359/rcin.220,http://dx.doi.org/10.18359/rcin.220,Universidad Militar Nueva Granada,23,2,7,Roberto Carlos Guevara C. and Édgar Serna M.
TAMAYO HERRERA ANTONIO JESUS,Augmenting a Spanish clinical dataset for transformer-based linking of negations and their out-of-scope references,Natural Language Processing,2024,,10.1017/nlp.2024.10,https://doi.org/10.1017/nlp.2024.10,,,,,Antonio Jesús Tamayo-Herrera; Diego A. Burgos; Alexander Gelbukh
TAMAYO HERRERA ANTONIO JESUS,Sentiment Analysis of News Articles in Spanish using Predicate Features,Lenguaje,2019,jul,10.25100/lenguaje.v47i2.7937,https://doi.org/10.25100%2Flenguaje.v47i2.7937,Universidad del Valle,47,2,235--267,Antonio Tamayo and Julián Arias Londoño and Diego Burgos and Gabriel Quiroz
