docente,titulo,revista,año,mes,DOI,URL,editorial,volumen,numero,paginas,autores
MUNERA RAMIREZ DANNY ALEXANDRO,IoT-based air quality monitoring systems for smart cities: A systematic mapping study,International Journal of Electrical and Computer Engineering,2021,,,,,11,4,3470-3482,"Múnera, D. and Diana P. Tobón, V. and Aguirre, J. and Gómez, N.G."
MUNERA RAMIREZ DANNY ALEXANDRO,"UML2SC: A tool for developing complex electronic systems using UML and SystemC,UML2SC: Herramienta para el diseño de sistemas electrónicos complejos utilizando los lenguajes UML y SystemC",Revista Facultad de Ingenieria,2009,,,,,,48,165-173,"Correa, B.A. and Eusse, J.F. and Múnera, D. and Sepúlveda, S. and Vélez, J.F. and Aedo, J.E."
ARIAS LONDOÑO JULIAN DAVID,Estimation of the cyclopean eye from binocular Smooth Pursuit Tests,IEEE Transactions on Cognitive and Developmental Systems,2024,,10.1109/TCDS.2024.3410110,https://doi.org/10.1109/TCDS.2024.3410110,,,,,Elisa Luque-Buzo; Mehdi Bejani; Julián D. Arias-Londoño; Jorge A. Gómez-García; Francisco Grandas-Pérez; Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,A voice and speech corpus of patients who underwent upper airway surgery in pre- and post-operative states,Scientific Data,2024,,10.1038/s41597-024-03540-5,https://doi.org/10.1038/s41597-024-03540-5,,,,,Estefanía Hernández-García; Alejandro Guerrero-López; Julián D. Arias-Londoño; Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,Analysis of the Clever Hans effect in COVID-19 detection using Chest X-Ray images and Bayesian Deep Learning,Biomedical Signal Processing and Control,2024,,10.1016/j.bspc.2023.105831,https://doi.org/10.1016/j.bspc.2023.105831,,,,,Julián D. Arias-Londoño; Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,Towards a Corpus (and Language)-Independent Screening of Parkinson’s Disease from Voice and Speech through Domain Adaptation,Bioengineering,2023,,10.3390/bioengineering10111316,https://doi.org/10.3390/bioengineering10111316,,,,,Emiro J. Ibarra; Julián D. Arias-Londoño; Matías Zañartu; Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,Automatic Identification of Lung Opacities Due to COVID-19 from Chest X-ray Images—Focussing Attention on the Lungs,Diagnostics,2023,,10.3390/diagnostics13081381,https://doi.org/10.3390/diagnostics13081381,,,,,Julián D. Arias-Londoño; Álvaro Moure-Prado; Juan I. Godino-Llorente
ARIAS LONDOÑO JULIAN DAVID,New computer aided device for real time analysis of speech of people with Parkinson’s disease,Revista Facultad de Ingeniería Universidad de Antioquia,2022,,10.17533/udea.redin.327870,https://doi.org/10.17533/udea.redin.327870,,,,,Juan Camilo Vásquez Correa; Juan Rafael Orozco Arroyave; Julián David Arias-Londoño; Jesús Francisco Vargas Bonilla; Elmar Nöth
ARIAS LONDOÑO JULIAN DAVID,Advances in Parkinson's Disease detection and assessment using voice and speech: A review of the articulatory and phonatory aspects,Biomedical Signal Processing and Control,2021,,,,,66,,,"Moro-Velazquez, L. and Gomez-Garcia, J.A. and Arias-Londoño, J.D. and Dehak, N. and Godino-Llorente, J.I."
ARIAS LONDOÑO JULIAN DAVID,On the design of automatic voice condition analysis systems. Part III: review of acoustic modelling strategies,Biomedical Signal Processing and Control,2021,,,,,66,,,"Gómez-García, J.A. and Moro-Velázquez, L. and Arias-Londoño, J.D. and Godino-Llorente, J.I."
