docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
ARIAS LONDOÑO JULIAN DAVID,DIFFERENTIAL PATTERN OF PHOSPHOLIPID PROFILE IN THE TEMPORAL CORTEX FROM E280A-FAMILIAR AND SPORADIC ALZHEIMER'S DISEASE BRAINS,,Journal of Alzheimer's Disease,2018,,209-219,,,,,61.0,1,"Villamil-Ortiz, J.G. and Barrera-Ocampo, A. and Arias-Londoño, J.D. and Villegas, A. and Lopera, F. and Cardona-Gómez, G.P.",Q1
ARIAS LONDOÑO JULIAN DAVID,DIFFERENTIAL PROFILE OF SYSTEMIC EXTRACELLULAR VESICLES FROM SPORADIC AND FAMILIAL ALZHEIMER?S DISEASE LEADS TO NEUROGLIAL AND ENDOTHELIAL CELL DEGENERATION,,Frontiers in Aging Neuroscience,2020,,,,,,,12.0,,"Villar-Vesga, J. and Henao-Restrepo, J. and Voshart, D.C. and Aguillon, D. and Villegas, A. and Castaño, D. and Arias-Londoño, J.D. and Zuhorn, I.S. and Ribovski, L. and Barazzuol, L. and Cardona-Gómez, G.P. and Posada-Duque, R.",Q1
ARIAS LONDOÑO JULIAN DAVID,EDITORIAL,,Revista Facultad de Ingenieria,2015,,7-8,,,,,2015.0,77,"Arias, J.D. and Botero, M.A.G.",Q4
ARIAS LONDOÑO JULIAN DAVID,ENTROPIES FROM MARKOV MODELS AS COMPLEXITY MEASURES OF EMBEDDED ATTRACTORS,,Entropy,2015,,3595--3620,,,,,17.0,6,"Arias-Londono, Julián D. and  Godino-Llorente, Juan I.",Q2
ARIAS LONDOÑO JULIAN DAVID,ESTIMATION OF THE CYCLOPEAN EYE FROM BINOCULAR SMOOTH PURSUIT TESTS,,IEEE Transactions on Cognitive and Developmental Systems,2024,,,,10.1109/TCDS.2024.3410110,,https://doi.org/10.1109/TCDS.2024.3410110,,,Elisa Luque-Buzo; Mehdi Bejani; Julián D. Arias-Londoño; Jorge A. Gómez-García; Francisco Grandas-Pérez; Juan I. Godino-Llorente,Q1
ARIAS LONDOÑO JULIAN DAVID,EVALUACION DE METODOS DE FOURIER Y MAXIMA ENTROPÍA PARA LA DETECCIÓN AUTOMÁTICA DE LA ENFERMEDAD DE PARKINSON,,Journal of Research of the University of Quindio,2015,,,,,,,27.0,1,"Arias Mejía, Juan Manuel and Bolaños, Belalcázar and Alexander, Elkyn and Orozco Arroyave, Juan Rafael and Arias Londoño, Julián David and Vargas Bonilla, Jesús Francisco",
ARIAS LONDOÑO JULIAN DAVID,MULTIMODAL AND MULTI-OUTPUT DEEP LEARNING ARCHITECTURES FOR THE AUTOMATIC ASSESSMENT OF VOICE QUALITY USING THE GRB SCALE,,IEEE Journal of Selected Topics in Signal Processing,2020,feb,413--422,Institute of Electrical and Electronics Engineers (IEEE),10.1109/jstsp.2019.2956410,,https://doi.org/10.1109%2Fjstsp.2019.2956410,14.0,2,Julian D. Arias-Londono and Jorge A. Gomez-Garcia and Juan I. Godino-Llorente,Q1
ARIAS LONDOÑO JULIAN DAVID,NEW COMPUTER AIDED DEVICE FOR REAL TIME ANALYSIS OF SPEECH OF PEOPLE WITH PARKINSON'S DISEASE,,Revista Facultad de Ingeniería Universidad de Antioquia,2022,,,,10.17533/udea.redin.327870,,https://doi.org/10.17533/udea.redin.327870,,,Juan Camilo Vásquez Correa; Juan Rafael Orozco Arroyave; Julián David Arias-Londoño; Jesús Francisco Vargas Bonilla; Elmar Nöth,
ARIAS LONDOÑO JULIAN DAVID,ON THE DESIGN OF AUTOMATIC VOICE CONDITION ANALYSIS SYSTEMS. PART III: REVIEW OF ACOUSTIC MODELLING STRATEGIES,,Biomedical Signal Processing and Control,2021,,,,,,,66.0,,"Gómez-García, J.A. and Moro-Velázquez, L. and Arias-Londoño, J.D. and Godino-Llorente, J.I.",Q1
ARIAS LONDOÑO JULIAN DAVID,ON-LINE SIGNATURE VERIFICATION USING GAUSSIAN MIXTURE MODELS AND SMALL-SAMPLE LEARNING STRATEGIES/VERIFICACION DE FIRMAS EN LNEA USANDO MODELOS DE MEZCLA GAUSSIANAS Y ESTRATEGIAS DE APRENDIZAJE PARA CONJUNTOS PEQUENOS DE MUESTRAS,,Revista Facultad de Ingeniera Universidad de Antioquia,2016,,14,,,,,,79,"Zapata-Zapata, Gabriel Jaime and  Arias-Londono, Julián David and  Vargas-Bonilla, Jesus Francisco and  Orozco-Arroyave, Juan Rafael",
ARIAS LONDOÑO JULIAN DAVID,SENTIMENT ANALYSIS OF NEWS ARTICLES IN SPANISH USING PREDICATE FEATURES,,Lenguaje,2019,jul,235--267,Universidad del Valle,10.25100/lenguaje.v47i2.7937,,https://doi.org/10.25100%2Flenguaje.v47i2.7937,47.0,2,Antonio Tamayo and Julián Arias Londoño and Diego Burgos and Gabriel Quiroz,
ARIAS LONDOÑO JULIAN DAVID,TOWARDS A CORPUS (AND LANGUAGE)-INDEPENDENT SCREENING OF PARKINSON'S DISEASE FROM VOICE AND SPEECH THROUGH DOMAIN ADAPTATION,,Bioengineering,2023,,,,10.3390/bioengineering10111316,,https://doi.org/10.3390/bioengineering10111316,,,Emiro J. Ibarra; Julián D. Arias-Londoño; Matías Zañartu; Juan I. Godino-Llorente,Q3
BOTIA VALDERRAMA DIEGO JOSE LUIS,APLICACIÓN DE LAS HERRAMIENTAS DE SOFTWARE LIBRE SLEUTHKIT Y AUTOPSY A LA INFORMÁTICA FORENSE,Colombia,Intekhnia,2008,,35 - 48,Ediciones Usta,,1900-7612,,,,,
BOTIA VALDERRAMA DIEGO JOSE LUIS,NONINTRUSIVE METHOD BASED ON NEURAL NETWORKS FOR VIDEO QUALITY OF EXPERIENCE ASSESSMENT,,Advances in Multimedia,2016,,1 - 17,Hindawi Limited,10.1155/2016/1730814,1687-5680,,2016.0,,"Botia Valderrama, D.J.L. and Gaviria Gómez, N.",Q3
BOTIA VALDERRAMA DIEGO JOSE LUIS,ON LAMDA CLUSTERING METHOD BASED ON TYPICALITY DEGREE AND INTUITIONISTIC FUZZY SETS,,Expert Systems with Applications,2018,,196-221,Pergamon-Elsevier Science Ltd,10.1016/j.eswa.2018.04.022,0957-4174,,107.0,,"Botía Valderrama, J.F. and Botía Valderrama, D.J.L.",Q1
BOTIA VALDERRAMA DIEGO JOSE LUIS,SISTEMA DE INFORMACIÓN Y GESTIÓN CUSTOMER RELATIONSHIP MANAGEMENT CRM APLICADO A UNA EMPRESA DE TELECOMUNICACIONES,Colombia,"El Aprendizaje Autónomo, Nueva Estrategia Didáctica En La Uptc",2005,,31 - 40,Editorial Uptc,,1794-7774,,,,,
BOTIA VALDERRAMA DIEGO JOSE LUIS,SISTEMA DETECTOR DE INTRUSOS (IDS) PARA REDES WIFI USANDO JAVA,Colombia,"El Aprendizaje Autónomo, Nueva Estrategia Didáctica En La Uptc",2007,,189 - 196,Editorial Uptc,,1794-7774,,,,,
BOTIA VALDERRAMA DIEGO JOSE LUIS,TWO CLUSTER VALIDITY INDICES FOR THE LAMDA CLUSTERING METHOD,,Applied Soft Computing Journal,2020,,102 - 106,Elsevier,10.1016/j.asoc.2020.106102,1568-4946,,89.0,,"Valderrama, J.F.B. and Valderrama, D.J.L.B.",Q1
BOTIA VALDERRAMA DIEGO JOSE LUIS,TWO CLUSTER VALIDITY INDICES FOR THE LAMDA CLUSTERING METHOD,,Applied Soft Computing Journal,2020,,1 - 22,Elsevier,10.1016/j.asoc.2020.106102,1568-4946,,89.0,,"Valderrama, J.F.B. and Valderrama, D.J.L.B.",Q1
BOTIA VALDERRAMA JAVIER FERNANDO,"ANÁLISIS DE LAS PROPIEDADES ELÉCTRICAS DEL ORO, GERMANIO Y FÓSFORO POR MEDIO DE LA ESTRUCTURA DE BANDAS Y DENSIDAD DE ESTADOS",Colombia,In Vestigium Ire,2008,,39 - 43,Universidad Santo Tomas,,2011-9836,,,,,
